name,price,original_price,status,landing_category,cpu,ram,ssd,gpu,screen_size,resolution,refresh_rate,battery,brand,sku,url
"Laptop gaming Acer Nitro ProPanel ANV15-52-78MD (Core 7-240H/ RTX 5050 8GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",38990000,39990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",Core 7-240H,8 GB,8GB,RTX 5050,15.6 inch,,,,ACER,LAP-ACER-NITRO-ANV15-52-78MD,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-52-78md
"Laptop gaming Acer Nitro ProPanel ANV16-41-R7EN (Ryzen 7 8845HS/ RTX 3050 6GB/ 16GB/ 512GB/ 16.0"" WUXGA/ Win 11)",31790000,33090000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ 7 8845HS (3.8 GHz upto 5.1 GHz, 8 nhân 16 luồng, 8 MB L2 cache, up to 16 MB L3 cache)",32 GB,512 GB,NVIDIA® GeForce RTX™ 3050 with 6 GB of dedicated GDDR6 VRAM,16 inch,"1920 x 1200, 300nits",165 Hz,"4 Cell, 57WHr",ACER,LAP-ACER-NITRO-V-ANV16-41-R7EN,https://gearvn.com/products/laptop-gaming-acer-nitro-v-anv16-41-r7en
"Laptop gaming Acer Nitro ProPanel ANV16-72-71T9 (Core 7-240H/ RTX 5060/ 16GB/ 512GB/ 16.0"" FHD/ Win 11)",40990000,41990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 7-240H (10 lõi / 16 luồng, 1.8 GHz - 5.2 GHz, 24 MB Intel Smart Cache)",16 GB,512 GB,"NVIDIA GeForce RTX 5060 8 GB GDDR7, hỗ trợ 3328 NVIDIA CUDA Cores",16 inch,FHD+ (1920 × 1200) (tỷ lệ 16:10),180 Hz,76 Wh 4-cell Li-ion batter 135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-ANV16-72-71T9,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv16-72-71t9
Laptop gaming Acer Predator Helios PHN16-73-757W (Ultra 7-255HX/ RTX 5060/ 32GB/ 1TB/ Win 11),60990000,62990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core Ultra 7 255HX (20 lõi / 20 luồng, Efficient-core Max Turbo Frequency : 4.5 GHz, Performance-core Max Turbo Frequency : 5.2 GHz, 30MB Cache)",32 GB,1024 GB,"NVIDIA GeForce RTX 5060 với 8 GB VRAM GDDR7 chuyên dụng, hỗ trợ 3328 lõi NVIDIA CUDA; 572 TOPS",16 inch,2K (2560 x 1600),240 Hz,Pin Li-ion 4 cell 90Wh;Bộ đổi nguồn AC 230W,ACER,LAP-ACER-PRE-HELI-PHN16-73-757W,https://gearvn.com/products/laptop-gaming-acer-predator-helios-phn16-73-757w
Laptop gaming MSI Stealth A16 AI+ A3XWHG 085VN,67690000,73990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming",AMD Ryzen™ 7 7840HS,16 GB,1024 GB,NVIDIA® GeForce RTX™ 4060 Laptop GPU,16 inch,,,,Không thương hiệu,LAP-MSI-STEALTH-A16-A3XWHG-085VN,https://gearvn.com/products/laptop-gaming-msi-stealth-a16-ai-a3xwhg-085vn
"Laptop gaming Acer Predator Helios Neo 16S PHN16S-I51-98CX (Ultra 9-386H/ RTX 5060 8GB/ 16GB/ 512GB/ 16.0"" 2K+ OLED/ Win 11)",72690000,80290000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ Ultra 9 Processor 386H (18MB Cache, 2.1 GHz up to 4.9 GHz, 16 nhân, 16 luồng); Intel® NPU up to 50TOPS",16 GB,512 GB,NVIDIA® GeForce RTX™ 5060 with 8 GB of dedicated GDDR7 VRAM,16 inch,2K+ (2560x1600),165 Hz,4,ACER,LAP-ACER-PRE-HELI-NEO-16S-PHN16S-I51-98CX,https://gearvn.com/products/laptop-gaming-acer-predator-helios-neo-16s-phn16s-i51-98cx
"Laptop gaming Acer Predator Helios Neo 16S PHN16S-I51-97T9 (Ultra 9-386H/ RTX 5070 8GB/ 16GB/ 512GB/ 16.0"" 2K+ OLED/ Win 11)",73990000,83590000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ Ultra 9 Processor 386H (18MB Cache, 2.1 GHz up to 4.9 GHz, 16 nhân, 16 luồng); Intel® NPU up to 50TOPS",16 GB,512 GB,NVIDIA® GeForce RTX™ 5070 with 8 GB of dedicated GDDR7 VRAM,16 inch,2K+ (2560x1600),165 Hz,4,ACER,LAP-ACER-PRE-HELI-NEO-16S-PHN16S-I51-97T9,https://gearvn.com/products/laptop-gaming-acer-predator-helios-neo-16s-phn16s-i51-97t9
"Laptop gaming MSI Stealth 16 AI+ B3WF-007VN (Ultra 9-386H/ RTX 5060/ 32GB/ 1TB/ 16"" QHD+ OLED/ Win 11)",79990000,80990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ Ultra 9-386H (2.1 GHz - 4.9 GHz / 18MB / 16 nhân, 16 luồng), Intel AI",32 GB,1024 GB,"NVIDIA® GeForce RTX™ 5060 Laptop 8GB GDDR7;Sức mạnh tính toán AI mạnh mẽ với 572 AI TOPS;Xung boost tối đa 2497MHz, công suất tiêu thụ tối đa 115W với Dynamic Boost",16 inch,"QHD+ (2560x1600) 16:10, Màn hình gương",240 Hz,4 cell / 90 Whr,MSI,LAP-MSI-STEALTH-16-AI-B3WG-007VN,https://gearvn.com/products/laptop-gaming-msi-stealth-16-ai-b3wg-007vn
"Laptop gaming MSI Stealth 16 AI+ B3WG-008VN (Ultra 9-386H/ RTX 5070 8GB/ 32GB/ 1TB/ 16"" QHD+ OLED/ Win 11)",83000000,85990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ Ultra 9-386H (2.1 GHz - 4.9 GHz / 18MB / 16 nhân, 16 luồng), Intel AI",32 GB,1024 GB,"NVIDIA® GeForce RTX™ 5070 Laptop 8GB GDDR7;Sức mạnh tính toán AI mạnh mẽ với 798 AI TOPS;Xung boost tối đa 2347MHz, công suất tiêu thụ tối đa 115W với Dynamic Boost.",16 inch,"QHD+ (2560x1600) 16:10, Màn hình gương",240 Hz,4 cell / 90 Whr,MSI,LAP-MSI-STEALTH-16-AI-B3WG-008VN,https://gearvn.com/products/laptop-gaming-msi-stealth-16-ai-b3wg-008vn
"Laptop Acer Aspire Lite 15 AL15-49P-R6XX (Ryzen 5 7430U/ 8GB/ 512GB/15.6""/ Win 11)",17690000,20990000,Còn hàng,Laptop Văn Phòng,Ryzen 5 7430U,8 GB,8GB,,15.6 inch,,,,ACER,LAP-ACER-ASPIRE-LITE-AL15-49P-R6XX,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-49p-r6xx-ryzen-5-7430u-8gb-512gb-15-6-win-11
"Laptop Acer Aspire Lite 15 AL15-21P-R87W (Ryzen 3 30/ 8GB/ 512GB/ 15.6"" FHD/ Win 11)",17990000,19790000,Còn hàng,Laptop Văn Phòng,Ryzen 3 30,8 GB,8GB,,15.6 inch,,,,ACER,LAP-ACER-ASPIRE-LITE-AL15-21P-R87W,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-21p-r87w
Laptop Acer Aspire Lite 15 AL15-411P-R1CM (Ryzen 5 3500U/ 8GB/ 256GB),17990000,18990000,Hết hàng,Laptop Văn Phòng,Ryzen 5 3500U,8 GB,8GB,,,,,,ACER,LAP-ACER-ASPIRE-LITE-AL15-411P-R1CM,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-411p-r1cm-ryzen-5-3500u-8gb-256gb
Laptop Acer Aspire Lite 15 AL15-48P-R86Q (Ryzen 7 5825U/ 8GB/ 512GB/ Win 11),18990000,20490000,Còn hàng,Laptop Văn Phòng,AMD Ryzen 7 5825U (8 cores / 16 threads / 2.0 GHz - up to 4.5 GHz / 16MB Cache),8 GB,512 GB,AMD Radeon Graphics,IPS; ComfyView chống chói; Full HD; SlimBezel; 16:9,,60 Hz,,ACER,LAP-ACER-ASPIRE-LITE-15-AL15-48P-R86Q,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-48p-r86q-ryzen-7-5825u-8gb-512gb-windows-11-home-sl
"Laptop gaming Acer Nitro V 15 ANV15-41-R2UP (Ryzen 5 6600H/ RTX 2050 4GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",25990000,,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ 5 6600H ( 6 Nhân, 12 Luồng, Up to 4.5 GHz) 3 MB L2 cache, up to 16 MB L3 cache",16 GB,512 GB,"NVIDIA® GeForce RTX™ 2050 with 4 GB of dedicated GDDR6 VRAM, supporting 2048 NVIDIA® CUDA® Cores",15.6 inch,Full HD (1920x1080),165 Hz,"4 Cell, 57Whr",ACER,LAP-ACER-NITRO-V-ANV15-41-R2UP,https://gearvn.com/products/laptop-gaming-acer-nitro-v-15-anv15-41-r2up
"Laptop Asus ExpertBook P1403CVA-I516-50W (I5-13420H/ 16GB/ 512GB/ 14"" FHD/ Win 11)",17590000,,Còn hàng,Laptop Văn Phòng,"Intel Core i5-13420H (12 MB, up to 4.6 GHz, 8 cores, 12 Threads)",16 GB,512 GB,Intel® Graphics,IPS / FHD,,,,ASUS,LAP-ASUS-EXPERT-P1403CVA-I516-50W,https://gearvn.com/products/laptop-asus-expertbook-p1403cva-i516-50w
"Laptop gaming Lenovo Legion Pro 7 16IAX10H 83F500JGVN (Ultra 9-275HX/ RTX 5070 Ti/ 32GB/ 1TB/ 16"" OLED 240Hz/ Win 11)",115990000,117990000,Hết hàng,Laptop Gaming,"Intel Core Ultra 9-275HX (Max Turbo up to 5.4GHz / 36MB / 24 nhân, 24 luồng);Intel AI Boost, up to 13 TOPS",32 GB,1024 GB,"NVIDIA GeForce RTX 5070 Ti 12GB GDDR7, Boost Clock 2220MHz, TGP 140W, 992 AI TOPS",16 inch,QHD+ (2560 x 1600),240 Hz,"80Wh, 400W Slim Tip (3-pin)",LENOVO,LAP-LENOVO-LEGION-PRO-7-16IAX10H-83F500JGVN,https://gearvn.com/products/laptop-gaming-lenovo-legion-pro-7-16iax10h-83f500jgvn
Laptop gaming Acer Predator Triton 14 AI PT14-52T-99TU (Ultra 9-288V/ RTX 5070/ 32GB/ 2TB/ Win 11),93890000,,Còn hàng,Laptop Gaming,"Intel® Core™ Ultra 9 288V (8 nhân 8 luồng, Max Turbo ~5.1 GHz, 12 MB Intel Smart Cache)",32 GB,2048 GB,NVIDIA® GeForce RTX™ 5070 8 GB GDDR7 (798 AI TOPS),14.5 inch,3K (2880 × 1800),120 Hz,4,ACER,LAP-ACER-PRE-TRITON-14-PT14-52T-99TU,https://gearvn.com/products/laptop-gaming-acer-predator-triton-14-ai-pt14-52t-99tu
